Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
I Kall,32,64,0,0,800,0,999
Redmi,4,64,16,12,3080,1,10999
I Kall,1,8,2,5,2200,1,3099
InFocus,2,16,5,5,2400,1,3899
Blackbear,32,64,0,2,2200,0,749
Blackbear,64,32,0,1,550,0,2849
Blackbear,24,24,0,1,1550,0,1495
POCO,6,128,20,12,4000,1,14999
I Kall,4,64,5,8,3000,1,4499
Inovu,32,32,0,0,800,0,599
Zen,32,32,0,1,800,0,899
OPPO,4,32,20,16,3200,1,19990
I Kall,2,16,0,5,2800,1,3599
I Kall,32,64,0,0,1000,0,599
Realme,3,32,5,13,4230,1,8499
Realme,2,32,5,13,4230,1,7499
OnePlus,8,128,16,16,3700,1,31999
Muphone,32,32,0,1,2400,0,999
I Kall,2,16,0,5,2500,1,3399
Moto,4,64,8,13,3000,1,14999
Muphone,32,32,0,0,2400,0,979
Billion,4,64,8,13,3500,1,13999
I Kall,4,32,0,5,3000,1,5699
Itel,32,32,0,0,2500,0,1124
Google,4,64,8,12,3430,1,54999
Infinix,4,64,32,13,4000,1,8999
Jivi,32,32,0,0,2750,0,925
Apple,0,64,12,12,0,1,64900
vivo,6,64,0,16,5000,1,12650
Alcatel,3,32,0,16,4000,1,12999
Intex,32,32,0,0,800,0,759
Intex,32,32,0,0,800,0,799
I Kall,4,64,5,8,3000,1,4499
OPPO,8,128,0,16,3500,1,23999
Blackbear,64,64,0,2,2800,0,1079
Lava,4,1,0,0,800,0,899
Peace,32,64,0,0,850,0,1449
Kechaoda,32,32,0,0,3600,0,1337
I Kall,2,16,0,5,2800,1,3599
ROKEA,256,32,0,0,800,0,899
Samsung,8,128,10,64,4500,1,73999
Muphone,32,64,0,0,1700,0,1199
I Kall,2,16,0,5,2500,1,3399
Gfive,32,32,0,1,1000,0,1099
I Kall,32,32,0,0,1000,0,1099
I Kall,32,64,0,0,1000,0,549
Lenovo,2,32,5,13,2300,1,17499
Inovu,32,32,0,0,800,0,649
I Kall,4,32,0,5,3000,1,5699
Mobiistar,1,8,5,5,2700,1,3899
Samsung,8,128,10,64,4000,1,66999
Panasonic,1,16,2,8,2000,1,6990
vivo,6,64,0,16,5000,1,12650
LG,4,128,5,16,3300,1,60000
Lava,1,16,2,5,2500,1,3999
Blackbear,2,16,8,13,3500,1,4999
Intex,32,32,0,1,1700,0,1090
I Kall,32,64,0,0,800,0,999
I Kall,4,64,5,8,3000,1,4499
I Kall,32,64,0,0,800,0,1099
Vivo,4,64,24,16,3260,1,23990
Lenovo,3,32,8,13,4000,1,7999
I Kall,2,16,0,5,2800,1,3599
Asus,2,8,5,13,2070,1,11549
Hicell,32,64,0,0,1050,0,539
Inovu,32,32,0,0,1000,0,599
Gfive,32,64,0,0,1050,0,1199
Peace,32,32,0,0,850,0,518
I Kall,2,16,0,5,2500,1,3399
Redmi,3,32,5,12,4000,1,10999
Samsung,0,0,0,0,800,0,1100
Apple,0,32,5,12,1715,1,25799
I Kall,4,32,0,5,3000,1,5699
Intex,2,16,5,8,2800,1,4999
Samsung,8,128,10,64,4000,1,66999
BlackBear,32,32,0,0,1450,0,899
Apple,0,32,5,12,1715,1,24988
Ziox,32,32,0,0,1000,0,799
Samsung,0,0,0,0,800,0,1640
Niamia,32,32,0,0,1000,0,1499
Karbonn,256,512,0,1,1400,0,1399
Micromax,4,64,20,16,3000,1,13999
MTR,64,64,0,0,2000,0,1599
Niamia,32,32,0,0,1000,0,1299
Niamia,32,32,0,0,1000,0,1299
I Kall,32,0,0,0,1000,0,799
Micromax,56,24,0,0,1750,0,999
I Kall,32,64,0,0,800,0,499
Mi,4,64,20,20,3010,1,9790
Tecno,4,64,0,16,3750,1,7435
Micromax,3,32,5,13,3000,1,4499
Niamia,32,32,0,0,1000,0,1299
I Kall,32,64,0,0,800,0,1795
Niamia,32,32,0,0,1000,0,1299
Micromax,512,4,0,2,1300,1,2499
